_id,email,fullName,userCode
6a71f25456c0266186cf59ad,admin@school.edu.vn,Quản Trị Viên Hệ Thống,ADM001
6a71f25456c0266186cf59b1,teacher@school.edu.vn,Giảng Viên Nguyễn Văn B,GV000
6a71f25456c0266186cf59b5,student@school.edu.vn,Sinh Viên Nguyễn Văn A,SV000
6a71f25456c0266186cf59b9,hung.nv@university.edu.vn,PGS.TS Nguyễn Văn Hùng,GV001
6a71f25556c0266186cf59bc,lan.tt@university.edu.vn,TS. Trần Thị Lan,GV002
6a71f25556c0266186cf59bf,tuan.lm@university.edu.vn,ThS. Lê Minh Tuấn,GV003
6a71f25556c0266186cf59c2,dat.pq@university.edu.vn,TS. Phạm Quốc Đạt,GV004
6a71f25556c0266186cf59c5,mai.ht@university.edu.vn,PGS.TS Hoàng Thị Mai,GV005
6a71f25556c0266186cf59c8,khoa.vd@university.edu.vn,TS. Vũ Đình Khoa,GV006
6a71f25556c0266186cf59cb,hoa.dt@university.edu.vn,ThS. Đặng Thị Hoa,GV007
6a71f25556c0266186cf59ce,minh.bq@university.edu.vn,PGS.TS Bùi Quang Minh,GV008
6a71f25556c0266186cf59d1,ha.ntt@university.edu.vn,TS. Ngô Thị Thu Hà,GV009
6a71f25556c0266186cf59d4,tung.dv@university.edu.vn,ThS. Dương Văn Tùng,GV010
6a71f25b56c0266186cf5b11,dung.ta1@student.edu.vn,Trần Đức Dũng,SV2025A001
6a71f25b56c0266186cf5b14,huong.la2@student.edu.vn,Lê Quốc Hương,SV2025A002
6a71f25b56c0266186cf5b17,minh.pa3@student.edu.vn,Phạm Thành Minh,SV2025A003
6a71f25b56c0266186cf5b1a,phong.ha4@student.edu.vn,Hoàng Thị Phong,SV2025A004
6a71f25b56c0266186cf5b1d,trang.va5@student.edu.vn,Vũ Văn Trang,SV2025A005
6a71f25b56c0266186cf5b20,xuyen.da6@student.edu.vn,Đặng Đức Xuyên,SV2025A006
6a71f25b56c0266186cf5b23,bao.ba7@student.edu.vn,Bùi Quốc Bảo,SV2025A007
